1940-03-25,"Jean Ichbiah, French computer scientist and chief designer of Ada, is born",computing/people
1934-02-15,"Niklaus Wirth, Swiss computer scientist and designer of Pascal, is born",computing/people
1934-01-11,"Sir Charles Anthony Hoare, British computer scientist, is born",computing/people
1938-01-10,"Donald Knuth, American computer scientist, is born",computing/people
1941-09-09,"Dennis Ritchie, American computer scientist, is born",computing/people
